857 868
719 512 606
423 778 -857
393 703 403
655 425 728
352 290 -175
807 446 -339
323 487 -717
66 687 61
84 45 -712
121 303 12
386 42 -49
848 189 -409
827 379 601
504 549 -485
190 826 234
820 502 -143
289 358 -461
291 170 -989
555 303 986
177 746 -284
634 528 197
313 295 761
84 228 -946
223 320 368
295 466 -523
720 502 863
842 111 10
485 269 55
274 182 20
619 691 -49
302 488 273
71 585 750
492 595 -955
732 209 66
695 661 -350
222 730 -611
446 448 544
220 486 -801
788 805 -956
144 418 -144
90 43 -820
425 508 288
33 287 342
130 644 -514
261 52 -988
57 161 -399
419 471 904
597 106 92
134 183 857
785 470 -785
694 550 -908
641 792 -513
373 466 58
544 458 740
257 115 -419
295 567 6
496 222 -667
472 219 -185
660 339 372
33 834 50
58 35 -780
711 581 -855
260 491 452
556 30 -66
96 248 -478
558 269 874
576 691 -319
656 821 621
346 47 621
241 715 -525
318 295 -706
165 384 -95
850 312 988
153 817 246
563 545 714
75 337 -661
1 834 -917
621 361 -828
100 419 -34
782 660 -549
266 564 -380
356 704 -49
528 121 51
123 832 -535
729 493 437
493 129 -195
432 267 57
382 441 328
170 350 889
256 527 -768
559 106 -524
728 126 -973
449 147 -97
393 44 357
513 533 362
493 137 597
274 237 109
825 562 -290
691 700 -497
652 115 -924
589 564 -329
742 709 -36
212 461 -209
638 483 -347
102 257 793
67 543 311
93 91 -51
557 818 -949
37 810 298
57 546 -83
554 642 663
281 638 78
651 353 -713
59 629 -939
33 62 177
179 231 -899
146 197 53
398 630 152
450 151 -287
155 565 524
569 34 798
337 628 -965
502 49 761
362 375 90
638 589 -618
697 554 919
517 49 712
108 718 131
4 502 847
435 163 644
394 789 -226
301 721 290
730 532 -9
197 293 481
79 817 -968
515 177 367
4 489 699
51 169 633
78 93 -753
93 755 -276
290 501 90
68 236 -701
809 721 -221
220 540 -555
333 781 566
146 302 26
133 79 756
703 595 -321
77 55 534
26 579 -660
336 659 -671
471 298 -210
247 578 -452
514 299 -589
185 535 -54
435 47 -128
185 101 464
750 395 -693
596 558 696
639 707 -723
6 547 855
506 463 -664
818 259 -878
794 316 -557
690 319 -840
779 450 421
70 534 182
388 561 -977
496 171 994
842 156 -162
269 774 258
604 189 -258
748 154 122
348 403 -415
197 424 -505
809 831 -51
802 21 -925
242 301 448
625 142 -366
390 734 -258
548 785 175
309 67 -316
523 786 959
611 82 757
166 804 382
97 688 299
183 122 -557
669 108 -117
302 794 658
689 471 -814
770 208 -425
700 630 280
526 9 12
280 152 -246
847 341 950
257 10 -249
757 498 -950
103 441 192
569 516 -964
209 587 337
13 32 -682
758 151 945
247 453 174
367 300 -696
318 396 -918
617 591 917
836 714 -223
460 597 -167
655 482 551
303 87 -898
1 371 -594
158 283 623
821 367 985
669 511 -935
273 66 861
609 520 -624
317 684 -158
822 45 217
839 58 725
193 513 904
690 605 429
104 105 197
141 712 -99
338 444 419
636 825 -258
554 835 -520
753 248 280
751 373 510
86 65 789
752 84 381
143 679 -724
766 207 430
76 114 996
747 184 -489
185 592 540
573 112 -325
218 702 -682
389 453 95
154 384 -19
727 539 -845
775 234 -202
49 486 809
805 495 -697
634 136 -196
146 454 717
352 782 -652
481 757 405
414 388 426
180 78 -769
443 216 706
649 587 320
625 412 661
303 706 117
6 824 -249
781 797 -879
728 426 525
693 587 -825
710 88 -912
381 570 -932
747 229 -842
444 83 218
716 145 631
717 667 -879
190 650 -904
453 627 -468
380 711 143
567 630 -727
561 797 463
560 461 437
169 455 523
491 333 -555
180 855 217
165 229 179
288 669 407
819 118 198
671 350 989
365 51 799
15 208 -315
682 3 -580
796 783 349
65 363 498
672 542 -111
484 14 -434
757 697 -721
140 647 787
574 80 132
252 71 19
559 159 824
95 74 198
45 140 605
726 67 835
308 523 676
112 172 -929
146 749 -815
288 4 -687
549 726 854
682 775 -652
634 180 446
377 503 -205
680 559 433
143 845 137
551 857 714
83 275 603
747 580 541
624 279 705
272 143 -373
615 179 -6
726 9 238
787 620 -451
711 655 25
30 255 755
673 661 -871
806 652 -941
690 296 286
397 281 -261
143 4 373
212 446 -939
625 531 733
711 10 455
423 529 -317
586 209 217
298 330 973
253 394 -247
99 378 917
466 110 -419
529 671 -150
6 157 268
321 474 -536
328 377 615
595 615 312
518 158 820
667 57 -933
657 740 381
656 677 205
720 301 390
412 48 -692
142 45 811
837 610 264
534 548 -884
219 562 949
180 769 -638
123 654 -53
426 780 -800
81 194 127
532 450 -69
367 603 -332
77 521 -519
398 362 -986
552 87 -88
647 45 -748
609 429 -685
762 772 813
155 443 -124
742 756 -513
410 548 -412
197 244 114
394 80 -881
656 580 -551
435 394 242
508 519 403
445 631 365
111 292 808
545 262 168
194 547 -681
302 774 604
515 259 628
293 513 425
392 109 132
408 58 -364
657 329 275
229 477 -880
306 534 838
299 60 200
211 701 526
583 811 -227
327 857 156
294 418 193
327 677 -589
163 149 -111
285 407 -552
739 299 398
319 325 682
451 625 -615
845 829 -167
463 676 -347
275 485 -991
410 183 -25
636 535 338
554 231 180
717 343 -516
472 798 143
152 455 -316
227 353 719
773 500 -75
760 306 937
322 111 532
7 31 370
135 614 -989
227 256 -416
23 290 -275
265 254 -874
545 324 -704
326 644 623
714 83 -970
287 572 671
410 833 616
266 842 574
714 41 386
767 19 -490
267 142 -679
326 278 -343
32 49 -698
596 526 261
311 365 699
579 504 -613
183 427 82
102 349 -920
205 84 -10
527 617 225
141 232 -39
296 542 -624
197 542 -324
678 348 727
834 749 348
589 634 -153
347 766 -217
353 152 397
124 781 -691
166 5 602
800 428 -328
744 730 -791
24 651 -603
692 781 998
473 719 247
554 354 704
426 466 -116
325 25 -309
714 47 -674
510 132 -546
350 512 -397
427 588 -320
655 777 -6
465 70 877
57 745 833
209 127 -120
802 579 -774
522 542 79
766 199 -817
765 570 -282
672 273 -495
660 749 296
219 375 -996
567 843 534
234 717 277
304 109 338
717 72 -485
636 401 222
36 337 -972
667 639 43
218 742 -73
267 47 67
119 497 649
800 573 -876
312 349 -653
544 841 -178
712 59 751
459 309 673
691 842 -846
785 137 -233
415 474 270
78 440 -761
234 31 925
56 252 -747
317 246 -272
456 452 -244
439 731 -591
419 220 -571
837 594 147
779 560 -734
14 380 642
834 499 897
824 557 -200
761 819 674
706 518 190
99 535 -959
764 803 -798
853 278 -726
680 809 873
312 747 849
267 195 -914
759 395 64
391 735 96
372 624 -844
158 614 -563
237 417 -239
557 9 -662
817 180 -502
579 123 818
519 543 136
642 619 -205
355 844 690
339 406 819
228 701 443
522 662 121
230 13 413
183 842 804
660 143 -518
224 281 -932
467 212 -297
568 22 -419
668 716 4
16 347 52
557 156 -593
810 763 -329
208 749 -26
828 374 822
418 183 708
313 392 -925
588 476 62
477 585 632
415 816 -745
59 257 -450
302 60 653
651 43 -682
55 669 585
629 359 785
605 484 764
811 716 -743
814 822 311
95 569 418
464 253 -799
128 393 636
156 462 -757
633 532 -233
552 751 294
790 265 -15
93 417 102
332 700 -689
199 144 -181
22 407 -126
521 245 -119
840 119 -553
653 622 -296
573 195 -909
625 761 847
589 605 -146
614 635 -282
260 220 -6
802 121 794
252 504 -118
367 579 -75
592 653 3
104 181 -100
145 774 -374
181 325 681
702 480 565
521 68 836
514 500 -391
763 667 596
420 595 908
628 60 -989
20 98 865
809 272 139
454 238 -451
710 305 -93
200 111 -353
34 143 -451
385 805 -305
170 667 -139
838 782 579
70 394 -79
160 789 944
347 710 13
227 855 941
784 728 -896
407 444 -931
233 373 -992
27 475 -936
376 796 652
400 785 -517
195 56 642
608 727 863
25 86 987
161 205 195
560 412 510
120 512 245
196 54 70
333 153 624
411 806 -741
824 91 50
111 648 193
325 362 457
780 782 152
154 50 444
407 798 796
672 675 960
360 39 846
471 68 -953
606 795 341
137 7 -441
235 764 239
329 739 365
482 153 -826
466 12 -426
699 419 769
207 49 -287
644 106 180
583 730 589
701 500 -947
505 347 -46
73 741 268
555 243 -559
809 487 -747
50 454 293
664 476 217
731 785 665
480 323 543
779 284 214
782 253 559
213 217 689
286 39 545
